tier;score;distance;vocab_id;vocab_type;vocab_label;vocab_lang;artwork_count;edm_uri;edm_pref_label;edm_alt_label;edm_all_alts;already_in_db;notes
5;0.906;3;311194705;organisation;Kunsthandel Inez Stodel;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.935;Kunsthandel S. Stodel;Stodel, Kunsthandel S.;Stodel, Kunsthandel S.;false;fuzzy token_set=94.73684210526315, ratio=86.36363636363636
5;0.942;2;31164141;organisation;Kunsthandel J. Goudstikker;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.2262;Kunsthandel S.E. Goudstikker;Goudstikker, Kunsthandel S.E.;Goudstikker, Kunsthandel S.E.;false;fuzzy token_set=95.83333333333333, ratio=92.5925925925926
5;0.848;4;21014941;group;Kunsthandel J.H. de Bois;nl;0;http://hdl.handle.net/10934/RM0001.PEOPLE.2352;Kunsthandel J. de Vries;Vries, Kunsthandel J. de;Vries, Kunsthandel J. de;false;fuzzy token_set=84.44444444444444, ratio=85.1063829787234
5;0.889;2;31164148;organisation;Kunsthandel Kleijn;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.64330;Kunsthandel Kilian;Kilian, Kunsthandel;Kilian, Kunsthandel;false;fuzzy token_set=88.88888888888889, ratio=88.88888888888889
5;0.889;2;31164149;organisation;Kunsthandel Kruger;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.70007;Kunsthandel Brauer;Brauer, Kunsthandel;Brauer, Kunsthandel;false;fuzzy token_set=88.88888888888889, ratio=88.88888888888889
5;0.865;3;31164149;organisation;Kunsthandel Kruger;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.1142;Kunsthandel Brouwer;Brouwer, Kunsthandel;Brouwer, Kunsthandel;false;fuzzy token_set=86.48648648648648, ratio=86.48648648648648
5;0.914;2;31164149;organisation;Kunsthandel Kruger;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.76395;Kunsthandel Suger;Suger, Kunsthandel;Suger, Kunsthandel;false;fuzzy token_set=91.42857142857143, ratio=91.42857142857143
5;0.932;2;31164154;organisation;Kunsthandel M.L. de Boer;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.58618;Kunsthandel P. De Boer;Boer, Kunsthandel De;"Boer, Kunsthandel De; Kunsthandel P. de Boer (I)";false;fuzzy token_set=95.0, ratio=91.30434782608697
5;0.932;2;31164154;organisation;Kunsthandel M.L. de Boer;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.58618;Kunsthandel P. De Boer;Kunsthandel P. de Boer (I);"Boer, Kunsthandel De; Kunsthandel P. de Boer (I)";false;fuzzy token_set=95.0, ratio=91.30434782608697
5;0.932;2;31164157;organisation;Kunsthandel P. de Boer;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.1970;Kunsthandel M.L. de Boer;Boer, Kunsthandel M.L. de;Boer, Kunsthandel M.L. de;false;fuzzy token_set=95.0, ratio=91.30434782608697
5;0.882;2;31164159;organisation;Kunsthandel Rueb;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.70007;Kunsthandel Brauer;Brauer, Kunsthandel;Brauer, Kunsthandel;false;fuzzy token_set=88.23529411764706, ratio=88.23529411764706
5;0.857;3;31164159;organisation;Kunsthandel Rueb;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.1142;Kunsthandel Brouwer;Brouwer, Kunsthandel;Brouwer, Kunsthandel;false;fuzzy token_set=85.71428571428571, ratio=85.71428571428572
5;0.865;3;311172127;organisation;Kunsthandel Staal;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.90343;Kunsthandel de Staël;Staël, Kunsthandel de;Staël, Kunsthandel de;false;fuzzy token_set=86.48648648648648, ratio=86.48648648648648
5;0.959;2;311172127;organisation;Kunsthandel Staal;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.6333;Kunsthandel A. Staal;Staal, Kunsthandel A.;Staal, Kunsthandel A.;false;fuzzy token_set=100.0, ratio=91.89189189189189
5;0.902;2;311172127;organisation;Kunsthandel Staal;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.81639;Kunsthandel H. Saal;Saal, Kunsthandel H.;Saal, Kunsthandel H.;false;fuzzy token_set=91.42857142857143, ratio=88.88888888888889
