id,place_name,label_en,label_nl,external_id,category,artwork_count
23017123,Moezel,,Moezel,,no_external_id__used,37
2307657,"Heilige Stede",,"Heilige Stede",,no_external_id__used,37
2308244,"Omval, de",,"Omval, de",,no_external_id__used,37
23010233,Amaravati,,Amaravati,,no_external_id__used,37
23012587,"London Bridge",,"London Bridge",,no_external_id__used,36
2307369,Baarsjes,,Baarsjes,,no_external_id__used,36
2307759,"Huis Kostverloren",,"Huis Kostverloren",,no_external_id__used,36
23014950,"Tempel van Hercules Invictus",,"Tempel van Hercules Invictus",,no_external_id__used,36
23019406,"Örebro",,"Örebro",,no_external_id__used,36
2309565,Voetboogdoelen,,Voetboogdoelen,,no_external_id__used,36
23012585,"Diaconie Oude Vrouwen- en Mannenhuis",,"Diaconie Oude Vrouwen- en Mannenhuis",,no_external_id__used,36
2307414,Westerhal,,Westerhal,,no_external_id__used,36
2307874,"Campo Santo",,"Campo Santo",,no_external_id__used,36
2301291,Mariakerk,,Mariakerk,,no_external_id__used,36
2307603,Willemspoort,,Willemspoort,,no_external_id__used,36
2309962,"Nieuwe Keizersgracht",,"Nieuwe Keizersgracht",,no_external_id__used,36
23029380,"Noordeinde 46",,"Noordeinde 46",,no_external_id__used,36
2307208,Wittevrouwenpoort,,Wittevrouwenpoort,,no_external_id__used,35
23012318,"Oudezijds Huiszittenhuis",,"Oudezijds Huiszittenhuis",,no_external_id__used,35
23013495,Prinseneilandsgracht,,Prinseneilandsgracht,,no_external_id__used,35
23014167,"Klooster Koningsveld",,"Klooster Koningsveld",,no_external_id__used,35
23017549,"Colonne Vendôme",,"Colonne Vendôme",,no_external_id__used,35
230759,Bolivia,,Bolivia,,no_external_id__used,35
2307384,Paleisstraat,,Paleisstraat,,no_external_id__used,35
2308828,Buurkerk,,Buurkerk,,no_external_id__used,35
2306346,Sarphatistraat,,Sarphatistraat,,no_external_id__used,35
2309911,Zeerecht,,Zeerecht,,no_external_id__used,34
23015152,Deltawerken,,Deltawerken,,no_external_id__used,34
23011282,Kloveniersdoelen,,Kloveniersdoelen,,no_external_id__used,34
2309450,"Eerste Regulierspoort",,"Eerste Regulierspoort",,no_external_id__used,34
2307319,Oosterpark,,Oosterpark,,no_external_id__used,34
2307929,"Kasteel Zuilenstein",,"Kasteel Zuilenstein",,no_external_id__used,34
2307411,Zandhoek,,Zandhoek,,no_external_id__used,33
2308600,"Kasteel Duurstede",,"Kasteel Duurstede",,no_external_id__used,33
2301490,Hoogstraat,,Hoogstraat,,no_external_id__used,33
23013168,"'s Lands Plantentuin",,"'s Lands Plantentuin",,no_external_id__used,33
2305425,"Mount Pleasant",,"Mount Pleasant",,no_external_id__used,33
2307942,Agnietenkapel,,Agnietenkapel,,no_external_id__used,33
2308054,"Engelse Kerk",,"Engelse Kerk",,no_external_id__used,33
23013571,Warandepark,,Warandepark,,no_external_id__used,33
2307900,"Kasteel Egmond",,"Kasteel Egmond",,no_external_id__used,33
2301614,Scheveningseweg,,Scheveningseweg,,no_external_id__used,33
23020323,"Beurs (1736-1940)",,"Beurs (1736-1940)",,no_external_id__used,33
230821,"Sardinië",,"Sardinië",,no_external_id__used,32
2307501,Tibereiland,,Tibereiland,,no_external_id__used,32
2301633,"Fort Knodsenburg (Nijmegen)",,"Fort Knodsenburg (Nijmegen)",,no_external_id__used,32
2307810,Sziget,,Sziget,,no_external_id__used,32
23012178,"Patrick Savanna",,"Patrick Savanna",,no_external_id__used,32
23021211,"Neues Museum",,"Neues Museum",,no_external_id__used,32
23017981,Zon,,Zon,,no_external_id__used,32
23012207,"Plantage Peperpot",,"Plantage Peperpot",,no_external_id__used,32
23015695,"Milvische brug",,"Milvische brug",,no_external_id__used,32
2308206,Linge,,Linge,,no_external_id__used,31
2308034,Spuistraat,,Spuistraat,,no_external_id__used,31
2308033,Beurspoortje,,Beurspoortje,,no_external_id__used,31
23012784,Lastageweg,,Lastageweg,,no_external_id__used,31
23015597,"Trinità dei Monti",,"Trinità dei Monti",,no_external_id__used,31
2309074,Alster,,Alster,,no_external_id__used,31
23012169,Heiligenweg,,Heiligenweg,,no_external_id__used,31
2309563,"Stadsbank van Lening",,"Stadsbank van Lening",,no_external_id__used,31
2306343,Nassaukade,,Nassaukade,,no_external_id__used,31
23012161,Knuffelsgracht,,Knuffelsgracht,,no_external_id__used,31
23016397,Chengde,,Chengde,,no_external_id__used,31
23012386,"Lutherse Diaconie Weeshuis (1678-1811)",,"Lutherse Diaconie Weeshuis (1678-1811)",,no_external_id__used,31
23018225,Amstelland,,Amstelland,,no_external_id__used,31
2309511,"Huis te Britten",,"Huis te Britten",,no_external_id__used,31
2307908,"Kasteel Nijenrode",,"Kasteel Nijenrode",,no_external_id__used,31
23024519,Guajira,,Guajira,,no_external_id__used,31
2307407,"West-Indisch Huis",,"West-Indisch Huis",,no_external_id__used,31
2307871,"Nationaal Monument",,"Nationaal Monument",,no_external_id__used,30
2308058,"Belvédère",,"Belvédère",,no_external_id__used,30
23018827,"Bergpark Wilhelmshöhe",,"Bergpark Wilhelmshöhe",,no_external_id__used,30
2308141,"Slot Abcoude",,"Slot Abcoude",,no_external_id__used,30
23012272,"Verenigd Koninkrijk der Nederlanden",,"Verenigd Koninkrijk der Nederlanden",,no_external_id__used,30
2308933,"Fort Zeelandia",,"Fort Zeelandia",,no_external_id__used,30
2307375,Jodenbreestraat,,Jodenbreestraat,,no_external_id__used,30
2306230,"Höchstädt an der Donau",,"Höchstädt an der Donau",,no_external_id__used,30
2304157,Taroetoeng,,Taroetoeng,,no_external_id__used,30
2308649,"Pulchri Studio",,"Pulchri Studio",,no_external_id__used,30
23015307,"Theater van Marcellus",,"Theater van Marcellus",,no_external_id__used,30
2301728,Boerenwetering,,Boerenwetering,,no_external_id__used,30
2301262,Walenpleintje,,Walenpleintje,,no_external_id__used,30
2308315,Sint-Jorishof,,Sint-Jorishof,,no_external_id__used,30
2309765,Waag,,Waag,,no_external_id__used,30
23019449,"Slot Rörstrand",,"Slot Rörstrand",,no_external_id__used,29
2308125,Looiersgracht,,Looiersgracht,,no_external_id__used,29
23014536,Voorweg,,Voorweg,,no_external_id__used,29
2307302,Torensluis,,Torensluis,,no_external_id__used,29
2307793,"Tempel van Antoninus en Faustina",,"Tempel van Antoninus en Faustina",,no_external_id__used,29
23011638,"Manneken Pis",,"Manneken Pis",,no_external_id__used,29
23017194,"Forth Bridge",,"Forth Bridge",,no_external_id__used,29
2309029,Hoofdtoren,,Hoofdtoren,,no_external_id__used,29
23012156,Gouvernementspaleis,,Gouvernementspaleis,,no_external_id__used,29
23013494,Sloterdijkbrug,,Sloterdijkbrug,,no_external_id__used,29
23014023,Voorstraatshaven,,Voorstraatshaven,,no_external_id__used,29
2308490,"Remonstrantse Kerk",,"Remonstrantse Kerk",,no_external_id__used,29
230769,"Galicië",,"Galicië",,no_external_id__used,29
23013961,Entrepotdok,,Entrepotdok,,no_external_id__used,29
23018781,Thunersee,,Thunersee,,no_external_id__used,29
230807,Ramillies-Offus,,Ramillies-Offus,,no_external_id__used,29
2309595,"Kasteel Batavia",,"Kasteel Batavia",,no_external_id__used,29
2309066,Stadhuis,,Stadhuis,,no_external_id__used,28
23015647,"Tempel van Saturnus",,"Tempel van Saturnus",,no_external_id__used,28
2307361,Spinhuissteeg,,Spinhuissteeg,,no_external_id__used,28
23013504,"Oude Turfmarkt",,"Oude Turfmarkt",,no_external_id__used,28
23010720,Broodhuis,,Broodhuis,,no_external_id__used,28
23012321,Kartuizerhof,,Kartuizerhof,,no_external_id__used,28
23010132,Salvador,,Salvador,,no_external_id__used,28
2309064,"Gein, het",,"Gein, het",,no_external_id__used,28
23011258,Rekem,,Rekem,,no_external_id__used,28
23020580,Karelsbrug,,Karelsbrug,,no_external_id__used,28
2307572,Cianjur,,Cianjur,,no_external_id__used,28
23052,Birma,,Birma,,no_external_id__used,28
2307474,Groothoofdspoort,,Groothoofdspoort,,no_external_id__used,27
2308541,Westerschelde,,Westerschelde,,no_external_id__used,27
2307905,"Huis Kronenburg",,"Huis Kronenburg",,no_external_id__used,27
23011215,"Zijpe- en Hazepolder",,"Zijpe- en Hazepolder",,no_external_id__used,27
2309255,Gemeenlandshuis,,Gemeenlandshuis,,no_external_id__used,27
2301441,"Baden (Zwitserland)",,"Baden (Zwitserland)",,no_external_id__used,27
230671,Philippsburg,,Philippsburg,,no_external_id__used,27
